0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.20155,0.22456,0.25975,0.28327,0.30112,0.31604,0.32995,0.34265,0.35297,0.36089,0.36704,0.37179,0.3757,0.37962,0.38364,0.38874,0.39562,0.40315,0.41295,0.42436,0.43269,0.43738,0.43824,0.4339,0.41946,0.39601,0.37034,0.34217,0.31279,0.28932,0.26007,0.22425,0.20254,0.19222,0.1793,0.16735,0.16182,0.15706,0.15323,0.15208,0.15063,0.14874,0.14855,0.14776,0.14627,0.14622,0.14554,0.14359,0.1435,0.14407,0.14393,0.1446,0.14537,0.14516,0.14603,0.1476,0.14833,0.1495,0.15091,0.15097,0.15186,0.15365,0.15435,0.15544,0.15779,0.16002,0.16226,0.16529,0.16806,0.17058,0.17393,0.17751,0.18092,0.1849,0.18883,0.19264,0.19733,0.20205,0.20617,0.21106,0.21577,0.22053,0.22658,0.23176,0.23685,0.24301,0.24777,0.25276,0.25872,0.26256,0.26741,0.27367,0.27852,0.2842,0.2937,0.30289,0.33606,0.42752,0.49051,0.49184
0.4669,0.49698,0.53943,0.56508,0.58516,0.60049,0.61086,0.61596,0.61415,0.60555,0.58503,0.55488,0.52247,0.48311,0.44347,0.40881,0.37509,0.34895,0.32614,0.30626,0.29472,0.28475,0.27647,0.2705,0.26504,0.26174,0.25862,0.25613,0.25597,0.25636,0.25722,0.25916,0.2622,0.26528,0.26671,0.26658,0.2668,0.26841,0.27114,0.27408,0.2766,0.27874,0.281,0.2835,0.28565,0.28763,0.28982,0.29197,0.29413,0.29642,0.29853,0.30053,0.30276,0.305,0.30706,0.30889,0.31048,0.31208,0.3138,0.31538,0.31679,0.31818,0.31958,0.32104,0.32263,0.32421,0.32575,0.32742,0.3292,0.33115,0.33332,0.33555,0.33807,0.3409,0.34341,0.34602,0.34912,0.35199,0.35491,0.3581,0.36138,0.36494,0.36829,0.37189,0.3758,0.37949,0.38358,0.3874,0.39122,0.39582,0.39997,0.40402,0.4109,0.41989,0.4265,0.44266,0.45831,0.49293,0.57265,0.62083
0.16794,0.19749,0.24285,0.27224,0.2931,0.30824,0.3193,0.3275,0.33366,0.33842,0.34236,0.3457,0.34876,0.35209,0.35546,0.35881,0.36238,0.36569,0.36848,0.37039,0.37107,0.37026,0.36757,0.36254,0.35474,0.34438,0.32999,0.31125,0.29202,0.27089,0.24334,0.21521,0.18728,0.15409,0.12297,0.097807,0.070564,0.04264,0.024215,0.010143,-0.0058232,-0.015939,-0.020492,-0.025348,-0.028581,-0.029086,-0.029224,-0.029313,-0.028211,-0.026223,-0.024207,-0.021861,-0.018386,-0.014302,-0.010928,-0.0081307,-0.0054064,-0.0030642,-0.0014905,-0.00073231,-0.00021777,0.00036789,-9.0572e-05,-0.0014116,-0.0017447,-0.0024607,-0.0045487,-0.0054019,-0.0051831,-0.0057668,-0.0060286,-0.0053863,-0.0053761,-0.0050726,-0.0032115,-0.0023843,-0.0018155,0.00069301,0.0024505,0.0033585,0.0055101,0.0070406,0.0082217,0.010175,0.011032,0.01225,0.013816,0.014112,0.015301,0.016997,0.017532,0.018592,0.023254,0.028971,0.034147,0.08,0.12929,0.17906,0.31266,0.40589
0.18512,0.21644,0.26319,0.29159,0.31088,0.32456,0.33444,0.34175,0.34755,0.35244,0.35687,0.36112,0.36529,0.3695,0.37356,0.37736,0.38065,0.38293,0.38384,0.38318,0.38089,0.37706,0.37199,0.36523,0.35581,0.34366,0.32924,0.31401,0.29728,0.27778,0.25754,0.23528,0.20933,0.184,0.15529,0.12433,0.097661,0.069371,0.040694,0.020172,-0.00071587,-0.019431,-0.028639,-0.037207,-0.044163,-0.046809,-0.048167,-0.048284,-0.046122,-0.043725,-0.04093,-0.037727,-0.034468,-0.031371,-0.028727,-0.025967,-0.022708,-0.019695,-0.016616,-0.013176,-0.0099758,-0.0064197,-0.0022538,0.0016789,0.0059593,0.010599,0.015173,0.020322,0.02586,0.03136,0.037173,0.043175,0.049271,0.055675,0.061902,0.068073,0.0745,0.080804,0.086995,0.093193,0.099357,0.10554,0.11159,0.1174,0.12284,0.12774,0.13237,0.13665,0.13974,0.14249,0.14515,0.14671,0.1487,0.1539,0.15967,0.17291,0.23772,0.29256,0.38094,0.47089
0.22746,0.24938,0.28083,0.29978,0.31377,0.32437,0.3332,0.3413,0.34857,0.35482,0.36008,0.36442,0.36809,0.37157,0.37505,0.37898,0.38399,0.39005,0.39775,0.40653,0.41487,0.42201,0.42619,0.42621,0.42194,0.4125,0.39757,0.37698,0.35446,0.33307,0.30611,0.28067,0.26297,0.24582,0.23015,0.2203,0.21324,0.20734,0.2054,0.20443,0.20364,0.20454,0.20597,0.20694,0.2091,0.2119,0.21444,0.2176,0.2214,0.22543,0.22948,0.23337,0.23702,0.24052,0.24373,0.24663,0.24957,0.25171,0.25207,0.2528,0.25419,0.25482,0.2555,0.25658,0.2562,0.25577,0.25668,0.25719,0.25779,0.25918,0.26017,0.2609,0.26266,0.26458,0.26644,0.26898,0.27165,0.27429,0.27733,0.27991,0.28217,0.28412,0.28541,0.28727,0.28825,0.28868,0.28952,0.28898,0.28991,0.29054,0.28981,0.29138,0.29146,0.29176,0.29726,0.30647,0.3126,0.39299,0.49601,0.51959
0.48511,0.49013,0.45569,0.39069,0.3516,0.31901,0.28618,0.26049,0.23491,0.21519,0.20022,0.1864,0.17734,0.17153,0.16802,0.16628,0.1639,0.16146,0.15851,0.15311,0.14789,0.14327,0.13466,0.12496,0.11498,0.10615,0.10071,0.094627,0.088902,0.086168,0.084243,0.082643,0.083165,0.084062,0.084952,0.086484,0.087913,0.089098,0.09078,0.092432,0.093882,0.09532,0.096239,0.096651,0.097175,0.097525,0.097556,0.09755,0.097215,0.096495,0.095861,0.09513,0.094139,0.093189,0.092114,0.090855,0.089635,0.088292,0.086795,0.085473,0.084142,0.082547,0.081065,0.079649,0.078186,0.077251,0.076671,0.075977,0.075574,0.075662,0.075983,0.076826,0.078111,0.079379,0.081159,0.083598,0.086157,0.089129,0.092463,0.095955,0.099949,0.10382,0.1076,0.11209,0.11613,0.12026,0.1251,0.12899,0.1334,0.13864,0.14318,0.1486,0.16156,0.17644,0.1927,0.24612,0.29211,0.36514,0.47599,0.51796
0.09024,0.094285,0.10406,0.11468,0.1237,0.1315,0.13857,0.14522,0.15136,0.15685,0.1617,0.16594,0.16963,0.17285,0.1756,0.17796,0.18004,0.1818,0.18339,0.18477,0.18596,0.18708,0.18803,0.18885,0.18964,0.19042,0.1912,0.19195,0.19281,0.19395,0.19521,0.1967,0.19867,0.20092,0.20328,0.20569,0.20763,0.20883,0.20942,0.20912,0.20747,0.20407,0.1989,0.19136,0.18041,0.16751,0.14941,0.12616,0.10286,0.077693,0.048897,0.021753,-0.013304,-0.060115,-0.095179,-0.12189,-0.14805,-0.1664,-0.18184,-0.19905,-0.20956,-0.21528,-0.22141,-0.2221,-0.22041,-0.21859,-0.21472,-0.20866,-0.20183,-0.19459,-0.18739,-0.18053,-0.17475,-0.17113,-0.16868,-0.16636,-0.16872,-0.17041,-0.16778,-0.17117,-0.17282,-0.16893,-0.17127,-0.17317,-0.16959,-0.17141,-0.17207,-0.16878,-0.17106,-0.17012,-0.16784,-0.17062,-0.16856,-0.16232,-0.15682,-0.12187,-0.011956,0.06982,0.21419,0.35796
0.62723,0.63761,0.61763,0.56954,0.53881,0.50402,0.47651,0.46571,0.45022,0.44076,0.43471,0.42656,0.41947,0.40702,0.39647,0.38836,0.37363,0.36204,0.35506,0.346,0.341,0.33866,0.33492,0.33305,0.33243,0.33153,0.33139,0.33158,0.33176,0.3325,0.33348,0.33449,0.33559,0.33665,0.3377,0.33897,0.34032,0.34172,0.34326,0.34481,0.34645,0.34843,0.35055,0.35281,0.35557,0.35872,0.36218,0.36622,0.37081,0.37582,0.38119,0.38667,0.39203,0.3972,0.4019,0.40571,0.40838,0.40989,0.41052,0.41068,0.41057,0.41021,0.40967,0.40905,0.40846,0.40805,0.40797,0.40814,0.40841,0.40879,0.40931,0.40993,0.41046,0.41089,0.41149,0.41209,0.41249,0.41298,0.41311,0.41288,0.41271,0.41174,0.4111,0.41124,0.41002,0.40911,0.40845,0.40722,0.40756,0.40677,0.40595,0.40719,0.40796,0.4087,0.41953,0.43899,0.44891,0.52253,0.60027,0.6043
0.21808,0.2419,0.27738,0.29938,0.31604,0.32938,0.34032,0.34959,0.35782,0.36549,0.37334,0.3823,0.39189,0.40086,0.40848,0.41509,0.42105,0.42445,0.42269,0.41683,0.40748,0.38978,0.36264,0.32935,0.28407,0.24063,0.20935,0.17794,0.14813,0.1266,0.098605,0.06903,0.056098,0.049003,0.042265,0.039713,0.038166,0.034961,0.034429,0.034158,0.031733,0.03098,0.033584,0.037373,0.041062,0.044606,0.048583,0.052657,0.055916,0.058401,0.060475,0.062272,0.062235,0.060054,0.058831,0.057624,0.054818,0.052705,0.050959,0.047251,0.044887,0.044981,0.043468,0.040954,0.040211,0.040437,0.040285,0.040488,0.040705,0.040518,0.040857,0.041134,0.040438,0.040279,0.041638,0.043832,0.046062,0.047464,0.046868,0.046488,0.048384,0.049548,0.050504,0.052239,0.052791,0.054712,0.056553,0.056803,0.059582,0.062806,0.063948,0.066759,0.069624,0.071486,0.080544,0.11594,0.14706,0.21624,0.36619,0.45142
0.27779,0.31137,0.35932,0.38821,0.40944,0.42552,0.43795,0.4484,0.45774,0.46573,0.47254,0.47714,0.47726,0.47023,0.4587,0.43892,0.4064,0.37301,0.33639,0.30193,0.28299,0.26438,0.24444,0.2346,0.22864,0.22154,0.21589,0.21258,0.2123,0.21244,0.21218,0.21392,0.2167,0.21964,0.22277,0.22638,0.22962,0.23189,0.23364,0.23522,0.23648,0.23662,0.23673,0.23704,0.23654,0.2363,0.23582,0.23422,0.23336,0.23313,0.23237,0.23208,0.23156,0.23054,0.23023,0.22994,0.2294,0.22955,0.22982,0.23004,0.23068,0.23111,0.23149,0.23254,0.23372,0.23506,0.23702,0.23907,0.24134,0.24411,0.24714,0.25036,0.25383,0.2572,0.26089,0.2652,0.26971,0.27453,0.27963,0.28492,0.29055,0.29619,0.30176,0.30771,0.313,0.31811,0.32416,0.32892,0.33345,0.33919,0.34311,0.34703,0.3523,0.35646,0.36071,0.37565,0.39178,0.41747,0.51108,0.58477
0.080808,0.085492,0.09573,0.10601,0.11405,0.12002,0.12556,0.13192,0.13858,0.14491,0.1505,0.15519,0.15896,0.1619,0.16402,0.16543,0.16634,0.16682,0.16713,0.16741,0.16772,0.16865,0.17024,0.17219,0.17517,0.17907,0.18357,0.18936,0.19398,0.19565,0.19473,0.19057,0.18193,0.16527,0.14382,0.12272,0.095916,0.064105,0.034287,0.0013329,-0.033388,-0.058853,-0.081381,-0.10379,-0.11723,-0.12422,-0.12894,-0.13023,-0.12818,-0.12474,-0.12055,-0.11613,-0.11211,-0.10845,-0.106,-0.10473,-0.10281,-0.10134,-0.10273,-0.10373,-0.10319,-0.10368,-0.10318,-0.1022,-0.10369,-0.10462,-0.1029,-0.10197,-0.10084,-0.097625,-0.094099,-0.090494,-0.086062,-0.081924,-0.07756,-0.072161,-0.06804,-0.064101,-0.059656,-0.057872,-0.056292,-0.05301,-0.053457,-0.054292,-0.0526,-0.056992,-0.059716,-0.060878,-0.071201,-0.075988,-0.076573,-0.085994,-0.090703,-0.093112,-0.098656,-0.086302,-0.0075766,0.054623,0.15339,0.26021
0.68892,0.68464,0.63723,0.55564,0.49015,0.42434,0.36614,0.33155,0.30406,0.28734,0.27137,0.25468,0.24451,0.2274,0.20978,0.19496,0.17301,0.15702,0.14501,0.12744,0.11401,0.10465,0.09748,0.095144,0.094361,0.093526,0.094376,0.0969,0.099996,0.10348,0.10717,0.11095,0.11516,0.11944,0.12294,0.12577,0.12842,0.13091,0.13316,0.13531,0.13718,0.13855,0.13996,0.14146,0.14226,0.14329,0.1445,0.14528,0.14619,0.14706,0.14777,0.14866,0.14943,0.14981,0.15057,0.15115,0.15148,0.15214,0.15258,0.15286,0.15335,0.15377,0.15418,0.15495,0.1552,0.15567,0.1568,0.1577,0.15882,0.1602,0.1615,0.16309,0.16497,0.16648,0.16843,0.17091,0.17319,0.17567,0.1777,0.17998,0.18347,0.18642,0.18855,0.19147,0.19421,0.19695,0.20092,0.20361,0.20622,0.21066,0.2129,0.21496,0.22057,0.22859,0.23556,0.27088,0.32694,0.35917,0.47723,0.58844
