x,y,cp,dun
0.134323149,0.028994843,0.156154525,-250510.7656
0.128427587,0.028812232,0.159343819,-251080.2188
0.12264521,0.028611066,0.162872569,-251536.5635
0.116977778,0.028390669,0.166765787,-252050.5596
0.111427019,0.028150573,0.170999849,-252604.5277
0.105994623,0.027890032,0.175675059,-253065.9643
0.100682245,0.027608227,0.180856918,-253408.4021
0.095491503,0.027304609,0.186549417,-253709.1462
0.090423978,0.026978459,0.192871875,-253859.9567
0.085481214,0.02662912,0.199891776,-253928.5331
0.080664716,0.026256254,0.207606531,-253885.2181
0.075975952,0.025859296,0.216141455,-253679.2116
0.07141635,0.025437803,0.225575695,-253273.1567
0.066987298,0.024991662,0.235818816,-252711.8461
0.062690146,0.024520114,0.247141833,-251869.1386
0.058526204,0.024022525,0.259706604,-250745.2357
0.054496738,0.02349876,0.273525428,-249290.3633
0.050602977,0.022948233,0.28882597,-247406.1754
0.046846106,0.022370737,0.305759653,-245073.5677
0.043227271,0.021766546,0.324224521,-242245.195
0.039747573,0.021134797,0.344578442,-238762.9349
0.036408073,0.020475114,0.36733681,-234433.1201
0.033209787,0.019787806,0.391957548,-229244.7053
0.03015369,0.019071896,0.419561484,-222715.8972
0.027240712,0.018327262,0.449977036,-215168.2861
0.024471742,0.017554624,0.483324979,-207361.4269
0.021847622,0.016752827,0.519972324,-199548.4633
0.019369152,0.015922035,0.56054555,-190042.0844
0.017037087,0.015063422,0.604318574,-176202.3215
0.014852137,0.014175287,0.652349284,-156371.0179
0.012814968,0.013257933,0.704225419,-131704.0927
0.0109262,0.01231309,0.758325523,-102054.2724
0.009186408,0.011338493,0.814848057,-79304.34913
0.007596123,0.010334682,0.873899573,-59401.20239
0.00615583,0.009304425,0.931334908,-38883.42554
0.004865966,0.008245537,0.984177952,-21028.89217
0.003726924,0.007158694,1.0145722,-8509.032645
0.002739052,0.006048649,1.031786223,-7545.069016
0.001902651,0.004917629,1.025247123,-20735.84014
0.001217975,0.003767709,0.988702875,-51797.74314
0.000685233,0.002607791,0.930264399,-100795.6728
0.000304586,0.001479733,0.821776511,-148172.1901
7.62E-05,0.000496365,0.663980688,-188882.6054
0,4.61E-06,0.586003319,-210916.8203
0.985147863,0.004640571,0.255538794,-159842.2115
0.982962913,0.005014594,0.249397898,-161877.3928
0.980630848,0.005412646,0.243164929,-163919.5686
0.978152378,0.005834443,0.237012617,-165650.8744
0.975528258,0.006279773,0.230717513,-167655.3485
0.972759288,0.00674842,0.224476182,-169428.0421
0.96984631,0.007240052,0.218192564,-171091.2571
0.966790213,0.007754283,0.211893682,-172569.9526
0.963591927,0.00829071,0.205571112,-174233.4393
0.960252427,0.008848953,0.199310576,-175869.6525
0.956772729,0.009428644,0.193110309,-177358.3703
0.953153894,0.010029404,0.186904622,-178539.6895
0.949397023,0.010650772,0.180671837,-180085.2639
0.945503262,0.01129223,0.174608044,-181550.3419
0.941473796,0.011953238,0.16854201,-182864.326
0.937309854,0.012633419,0.162623599,-183952.5284
0.933012702,0.01333244,0.156704685,-185090.944
0.92858365,0.014049984,0.150831237,-186571.5313
0.924024048,0.014785598,0.145033693,-187655.9895
0.919335284,0.015538701,0.139278949,-188947.9988
0.914518786,0.016308729,0.133611177,-190033.761
0.909576022,0.017095157,0.128007978,-191058.5912
0.904508497,0.017897498,0.122479649,-192144.0213
0.899317755,0.018715252,0.117018728,-193633.2023
0.894005377,0.019548,0.111725789,-194549.6766
0.888572981,0.020395352,0.106411426,-195331.6058
0.883022222,0.021256911,0.101095744,-196436.1213
0.87735479,0.022132133,0.095882254,-197766.4082
0.871572413,0.02302037,0.090735358,-198938.6661
0.865676851,0.023920998,0.085653509,-199854.0541
0.8596699,0.024833475,0.080638907,-200929.1907
0.853553391,0.025757359,0.075678027,-202015.6235
0.847329185,0.026692205,0.070799181,-202963.2286
0.84099918,0.027637567,0.06598185,-203707.6957
0.834565303,0.028592958,0.061151812,-204879.5004
0.828029514,0.029557913,0.056346048,-206156.1646
0.821393805,0.03053184,0.05157821,-207156.3332
0.814660196,0.031514064,0.046906654,-207942.8709
0.807830738,0.032503936,0.042279095,-208774.2136
0.800907512,0.033500922,0.037609349,-209837.8991
0.793892626,0.034504568,0.033046383,-210811.5665
0.786788218,0.035514442,0.028504838,-211612.4299
0.779596452,0.036530028,0.023891725,-212781.9421
0.772319518,0.037550761,0.019332828,-214076.7966
0.764959632,0.038576085,0.014804863,-215056.8025
0.757519037,0.039605327,0.010284207,-215894.8606
0.75,0.040637718,0.005809378,-216728.9228
0.74240481,0.041672569,0.001379391,-217413.8235
0.734735781,0.042709357,-0.003092986,-218217.1739
0.72699525,0.043747716,-0.007608188,-219357.5895
0.719185573,0.044787244,-0.012115084,-220536.7662
0.711309131,0.045827239,-0.016626416,-221490.0632
0.703368322,0.046866767,-0.021140532,-222279.1986
0.695365564,0.047904963,-0.02564144,-223246.0331
0.687303297,0.048941163,-0.030133741,-224437.3956
0.679183975,0.049974887,-0.034642774,-225531.6499
0.671010072,0.051005613,-0.039152648,-226471.7244
0.662784077,0.052032597,-0.043657639,-227231.6578
0.654508497,0.053054957,-0.048243632,-227990.4449
0.646185852,0.054071834,-0.052892575,-228982.0953
0.637818678,0.055082432,-0.057541238,-230124.8721
0.629409523,0.056085995,-0.062168576,-231419.4925
0.620960948,0.057081762,-0.066739985,-232695.7294
0.612475527,0.058068966,-0.071300156,-233586.0201
0.603955845,0.059046854,-0.07596942,-234187.1433
0.595404498,0.060014642,-0.080691132,-234982.1037
0.586824089,0.060971399,-0.085391447,-236009.3934
0.578217233,0.06191611,-0.090139431,-237288.25
0.56958655,0.062847798,-0.094883791,-238664.3642
0.560934672,0.063765581,-0.099563276,-239804.1807
0.552264232,0.064668634,-0.104232947,-240796.3126
0.543577871,0.065556119,-0.108964108,-242004.6248
0.534878237,0.066427116,-0.113730308,-243353.05
0.526167978,0.067280612,-0.11848763,-244635.9237
0.517449748,0.068115623,-0.123183858,-245791.6278
0.508726203,0.068931091,-0.127845629,-246849.3363
0.5,0.069725905,-0.132507158,-247995.9843
0.491273797,0.070499014,-0.137133309,-249233.0837
0.482550252,0.071249488,-0.14169114,-250411.7873
0.473832022,0.071976496,-0.146227946,-251674.9457
0.465121763,0.072679182,-0.150722674,-253000.1728
0.456422129,0.07335637,-0.155165214,-254204.178
0.447735768,0.074006784,-0.159530536,-255400.1888
0.439065328,0.074629267,-0.163769718,-256763.6595
0.43041345,0.075222885,-0.16785814,-258196.3022
0.421782767,0.075786878,-0.171830949,-259505.5656
0.413175911,0.076320454,-0.1757241,-260760.2914
0.404595502,0.076822496,-0.179474497,-261961.9074
0.396044155,0.077291823,-0.183051693,-263084.0327
0.387524473,0.077727322,-0.186472964,-264285.4066
0.379039052,0.078127964,-0.189677629,-265652.7446
0.370590477,0.078492784,-0.192539147,-267022.6047
0.362181322,0.078820923,-0.195029872,-268259.1951
0.353814148,0.079111726,-0.197244509,-269455.959
0.345491503,0.079364675,-0.199215976,-270598.1943
0.337215923,0.079578898,-0.200849388,-271688.5676
0.328989928,0.079752453,-0.201774227,-272670.7397
