TITLE     = "Fluent Common Fluid Files Data"
VARIABLES = "X"
"Y"
"Static Pressure"
"Static Temperature"
DATASETAUXDATA Common.DensityVar="5"
DATASETAUXDATA Common.PressureVar="11"
DATASETAUXDATA Common.TemperatureVar="13"
DATASETAUXDATA Common.TurbulentDynamicViscosityVar="9"
DATASETAUXDATA Common.TurbulentKineticEnergyVar="7"
DATASETAUXDATA Common.UVar="14"
DATASETAUXDATA Common.VectorVarsAreVelocity="True"
DATASETAUXDATA Common.ViscosityVar="8"
DATASETAUXDATA Common.VVar="15"
ZONE T="Rectangular zone"
 STRANDID=0, SOLUTIONTIME=4630
 I=512, J=512, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE SINGLE )
 -3.033268079E-02 -1.000000000E+00 1.016268281E+05 3.002557068E+02
 -2.641878650E-02 -1.000000000E+00 1.016251484E+05 3.002543030E+02
 -2.250489220E-02 -1.000000000E+00 1.016236094E+05 3.002530212E+02
 -1.859099790E-02 -1.000000000E+00 1.016221172E+05 3.002517700E+02
 -1.467710361E-02 -1.000000000E+00 1.016203828E+05 3.002503357E+02
 -1.076320931E-02 -1.000000000E+00 1.016189297E+05 3.002491455E+02
 -6.849315017E-03 -1.000000000E+00 1.016172891E+05 3.002477722E+02
 -2.935420722E-03 -1.000000000E+00 1.016156875E+05 3.002464600E+02
 9.784735739E-04 -1.000000000E+00 1.016142266E+05 3.002452393E+02
 4.892367870E-03 -1.000000000E+00 1.016124766E+05 3.002437744E+02
 8.806262165E-03 -1.000000000E+00 1.016110078E+05 3.002425537E+02
 1.272015646E-02 -1.000000000E+00 1.016093906E+05 3.002411804E+02
 1.663405076E-02 -1.000000000E+00 1.016077656E+05 3.002398376E+02
 2.054794505E-02 -1.000000000E+00 1.016063047E+05 3.002386169E+02
 2.446183935E-02 -1.000000000E+00 1.016045938E+05 3.002371826E+02
 2.837573364E-02 -1.000000000E+00 1.016031172E+05 3.002359619E+02
 3.228962794E-02 -1.000000000E+00 1.016015000E+05 3.002346191E+02
 3.620352224E-02 -1.000000000E+00 1.015998828E+05 3.002332764E+02
 4.011741653E-02 -1.000000000E+00 1.015984141E+05 3.002320557E+02
 4.403131083E-02 -1.000000000E+00 1.015967422E+05 3.002306519E+02
 4.794520512E-02 -1.000000000E+00 1.015952734E+05 3.002294312E+02
 5.185909942E-02 -1.000000000E+00 1.015936484E+05 3.002280884E+02
 5.577299371E-02 -1.000000000E+00 1.015920625E+05 3.002267761E+02
 5.968688801E-02 -1.000000000E+00 1.015905547E+05 3.002255249E+02
 6.360078603E-02 -1.000000000E+00 1.015889297E+05 3.002241821E+02
